delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.1,1000,exp,297,9,24,space,0.7856202999828383,None,200,1,[1.3085650000721216],[1.3085744000272825],24,9,297,6,1315.665153500042,,1315.6507547000656,1315.665153500042,1316.6656278000446,1316.6656278000446,1316.6656278000446,1317.466031900025,space,0.7856202999828383,None,1317.466825600015,1317.5657472666974,1317.8742345999926,1317.8656958000502,1317.8660659000743,1317.8742345999926,1317.8742345999926,1317.8742345999926,1319.1830653999932,200,1,[1.3085650000721216],[1.3085744000272825],aj_1,001,2025-11-13_23h00.12.150,intentional_binding,,2025.1.1,59.906856848985115,2025-11-13 23h00.19.340553 +0530,
0.4,1000,exp,298,10,24,space,0.535202500061132,None,100,1,[1.706468899967149],[1.7064817999489605],24,10,298,4,1319.198619700037,,1319.1832713000476,1319.198619700037,1320.1821637999965,1320.1821637999965,1320.1988724999828,1320.7329342000885,space,0.535202500061132,None,1320.7341994000599,1321.1321820667401,1321.4441246000351,1321.4303012000164,1321.4308597000781,1321.4441246000351,1321.4441246000351,1321.4441246000351,1323.150998200057,100,1,[1.706468899967149],[1.7064817999489605],aj_1,001,2025-11-13_23h00.12.150,intentional_binding,,2025.1.1,59.906856848985115,2025-11-13 23h00.19.340553 +0530,
0.1,400,unexp,299,11,24,space,0.19833230006042868,None,0,1,[0.9580728999571875],[0.9580784999998286],24,11,299,0,1323.1658010000829,,1323.1513083999744,1323.1658010000829,1324.1655279999832,1324.1655279999832,1324.1655279999832,1324.3661537000444,space,0.19833230006042868,None,1324.3674146999838,1324.4655932667122,1324.7746071000583,1324.7637066000607,1324.7642171999905,1324.7746071000583,1324.7746071000583,1324.7746071000583,1325.7328660000348,0,1,[0.9580728999571875],[0.9580784999998286],aj_1,001,2025-11-13_23h00.12.150,intentional_binding,,2025.1.1,59.906856848985115,2025-11-13 23h00.19.340553 +0530,
0.1,1000,exp,300,0,25,space,0.09456080000381917,None,100,1,[0.9912272000219673],[0.9912372999824584],25,0,300,9,1325.7485185000114,,1325.7330271999817,1325.7485185000114,1326.7488963999785,1326.7488963999785,1326.7488963999785,1326.8508410999784,space,0.09456080000381917,None,1326.852126999991,1326.9654828666864,1327.275028700009,1327.2629458999727,1327.2636566000292,1327.275028700009,1327.275028700009,1327.275028700009,1328.266653400031,100,1,[0.9912272000219673],[0.9912372999824584],aj_1,001,2025-11-13_23h00.12.150,intentional_binding,,2025.1.1,59.906856848985115,2025-11-13 23h00.19.340553 +0530,
0.4,400,unexp,301,1,25,space,0.22828969999682158,None,400,1,[0.8708975000772625],[0.8709084000438452],25,1,301,1,1328.2821191999828,,1328.2669943000656,1328.2821191999828,1329.2816485000076,1329.2816485000076,1329.2816485000076,1329.5161590999924,space,0.22828969999682158,None,1329.5172259000828,1329.915605466642,1330.2288969000801,1330.2152611999772,1330.2159056999953,1330.2288969000801,1330.2288969000801,1330.2288969000801,1331.1001497000689,400,1,[0.8708975000772625],[0.8709084000438452],aj_1,001,2025-11-13_23h00.12.150,intentional_binding,,2025.1.1,59.906856848985115,2025-11-13 23h00.19.340553 +0530,
0.7,1000,exp,302,2,25,space,0.27138719998765737,None,999,1,[1.8383330999640748],[1.8383465999504551],25,2,302,8,1331.1152205000399,,1331.1004867000738,1331.1152205000399,1332.1155062000034,1332.1155062000034,1332.1155062000034,1332.399854700081,space,0.27138719998765737,None,1332.4011196000502,1333.1152351666863,1333.4282233000267,1333.413984599989,1333.4145837000106,1333.4282233000267,1333.4282233000267,1333.4282233000267,1335.2670054000337,999,1,[1.8383330999640748],[1.8383465999504551],aj_1,001,2025-11-13_23h00.12.150,intentional_binding,,2025.1.1,59.906856848985115,2025-11-13 23h00.19.340553 +0530,
0.1,400,unexp,303,3,25,space,0.26219809998292476,None,100,1,[1.1421731000300497],[1.1421830999897793],25,3,303,0,1335.2819331000792,,1335.2673880000366,1335.2819331000792,1336.2816502000205,1336.2816502000205,1336.2816502000205,1336.5499009999912,space,0.26219809998292476,None,1336.5514125999762,1336.6655440666402,1336.9745231000707,1336.9603659000713,1336.960960400058,1336.9745231000707,1336.9745231000707,1336.9745231000707,1338.1169882999966,100,1,[1.1421731000300497],[1.1421830999897793],aj_1,001,2025-11-13_23h00.12.150,intentional_binding,,2025.1.1,59.906856848985115,2025-11-13 23h00.19.340553 +0530,
0.4,1000,exp,304,4,25,space,0.26684619998559356,None,200,1,[1.0281374999321997],[1.028160799993202],25,4,304,4,1338.1318491999991,,1338.1173069999786,1338.1318491999991,1339.1318130000727,1339.1318130000727,1339.1318130000727,1339.416118000052,space,0.26684619998559356,None,1339.4171059000073,1339.815507066731,1340.1221483000554,1340.1117625000188,1340.112323599984,1340.1221483000554,1340.1221483000554,1340.1221483000554,1341.1508174000774,200,1,[1.0281374999321997],[1.028160799993202],aj_1,001,2025-11-13_23h00.12.150,intentional_binding,,2025.1.1,59.906856848985115,2025-11-13 23h00.19.340553 +0530,
0.7,1000,exp,305,5,25,space,0.32674889999907464,None,500,1,[1.7749927999684587],[1.7750035000499338],25,5,305,11,1341.1654328000732,,1341.1512555000372,1341.1654328000732,1342.1653582000872,1342.1653582000872,1342.1653582000872,1342.4994809000054,space,0.32674889999907464,None,1342.501145599992,1343.21514436667,1343.5245961999753,1343.5129553000443,1343.513699300005,1343.5245961999753,1343.5245961999753,1343.5245961999753,1345.2999379000394,500,1,[1.7749927999684587],[1.7750035000499338],aj_1,001,2025-11-13_23h00.12.150,intentional_binding,,2025.1.1,59.906856848985115,2025-11-13 23h00.19.340553 +0530,
0.4,1000,exp,306,6,25,space,0.2713277000002563,None,400,1,[1.3464931999333203],[1.3465035000117496],25,6,306,7,1345.3151680000592,,1345.3002511999803,1345.3151680000592,1346.315465599997,1346.315465599997,1346.315465599997,1346.599015600048,space,0.2713277000002563,None,1346.599526999984,1346.9981146667308,1347.303226500051,1347.2884816000005,1347.289344000048,1347.303226500051,1347.303226500051,1347.303226500051,1348.6500442000106,400,1,[1.3464931999333203],[1.3465035000117496],aj_1,001,2025-11-13_23h00.12.150,intentional_binding,,2025.1.1,59.906856848985115,2025-11-13 23h00.19.340553 +0530,
0.7,400,unexp,307,7,25,space,0.2350633000023663,None,0 ,1,[1.6685957999434322],[1.6686050000134856],25,7,307,2,1348.6654145000502,,1348.650340900058,1348.6654145000502,1349.6651618999895,1349.6651618999895,1349.6651618999895,1349.916142400005,space,0.2350633000023663,None,1349.9172448000172,1350.6319468666954,1350.9472437000368,1350.9339002000634,1350.9348948000697,1350.9472437000368,1350.9472437000368,1350.9472437000368,1352.6161054000258,0 ,1,[1.6685957999434322],[1.6686050000134856],aj_1,001,2025-11-13_23h00.12.150,intentional_binding,,2025.1.1,59.906856848985115,2025-11-13 23h00.19.340553 +0530,
0.1,1000,exp,308,8,25,space,0.5058799999533221,None,300,1,[1.5833689999999478],[1.583382899989374],25,8,308,3,1352.6319406999974,,1352.6163385000546,1352.6319406999974,1353.6153491000878,1353.6153491000878,1353.6323179000756,1354.1322413000744,space,0.5058799999533221,None,1354.1332340000663,1354.231870666674,1354.5498164000455,1354.5353281000862,1354.535878200084,1354.5498164000455,1354.5498164000455,1354.5498164000455,1356.1338082000148,300,1,[1.5833689999999478],[1.583382899989374],aj_1,001,2025-11-13_23h00.12.150,intentional_binding,,2025.1.1,59.906856848985115,2025-11-13 23h00.19.340553 +0530,
0.7,1000,exp,309,9,25,space,0.49167190003208816,None,400,1,[0.9380756999598816],[0.9380842999089509],25,9,309,5,1356.14862360002,,1356.1341410999885,1356.14862360002,1357.1485347000416,1357.1485347000416,1357.1485347000416,1357.6495199999772,space,0.49167190003208816,None,1357.650786000071,1358.365420966704,1358.6778599000536,1358.6614673000295,1358.6621007000795,1358.6778599000536,1358.6778599000536,1358.6778599000536,1359.616250500083,400,1,[0.9380756999598816],[0.9380842999089509],aj_1,001,2025-11-13_23h00.12.150,intentional_binding,,2025.1.1,59.906856848985115,2025-11-13 23h00.19.340553 +0530,
0.1,1000,exp,310,10,25,space,0.4780380999436602,None,500,1,[1.3103121999884024],[1.3103227999527007],25,10,310,6,1359.631657800055,,1359.6165097000776,1359.631657800055,1360.615496900049,1360.615496900049,1360.631939999992,1361.0991665000329,space,0.4780380999436602,None,1361.1001317000482,1361.1985849666564,1361.5058352000779,1361.4917761000106,1361.4923567000078,1361.5058352000779,1361.5058352000779,1361.5058352000779,1362.816502199974,500,1,[1.3103121999884024],[1.3103227999527007],aj_1,001,2025-11-13_23h00.12.150,intentional_binding,,2025.1.1,59.906856848985115,2025-11-13 23h00.19.340553 +0530,
0.4,1000,exp,311,11,25,space,1.1307832000311464,None,800 ,1,[2.6613922000396997],[2.661403700010851],25,11,311,10,1362.8319145999849,,1362.8168296000222,1362.8319145999849,1363.831453800085,1363.831453800085,1363.831453800085,1364.9657045999775,space,1.1307832000311464,None,1364.9664905000245,1365.3653176667324,1365.6710878000595,1365.6595636000857,1365.6601799000055,1365.6710878000595,1365.6710878000595,1365.6710878000595,1368.3327924000332,800 ,1,[2.6613922000396997],[2.661403700010851],aj_1,001,2025-11-13_23h00.12.150,intentional_binding,,2025.1.1,59.906856848985115,2025-11-13 23h00.19.340553 +0530,
0.7,400,unexp,312,0,26,space,0.34712180006317794,None,100,1,[1.628619599970989],[1.628628599923104],26,0,312,2,1368.348319599987,,1368.333094200003,1368.348319599987,1369.3487108000554,1369.3487108000554,1369.3487108000554,1369.698707100004,space,0.34712180006317794,None,1369.6993522000266,1370.397977066754,1370.703998300014,1370.6958691000473,1370.696625099983,1370.703998300014,1370.703998300014,1370.703998300014,1372.332971099997,100,1,[1.628619599970989],[1.628628599923104],aj_1,001,2025-11-13_23h00.12.150,intentional_binding,,2025.1.1,59.906856848985115,2025-11-13 23h00.19.340553 +0530,
